"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KRT16",2544.42963706505,-1.89962238552836,0.201938156306428,-9.40695121849983,5.10736301773114e-21,5.64636006153569e-19
"LDLRAD4",413.207043164811,-2.73770512630684,0.292082432644421,-9.3730564399938,7.04619257111887e-21,7.73821267595128e-19
"TMSB4X",2891.07019638788,1.87631253837153,0.200287918824119,9.36807646405873,7.38663721623967e-21,8.05872401032253e-19
"CSF1",236.630230595752,2.67967005317745,0.2880766701675,9.30193358462309,1.37914410901251e-20,1.49479390586631e-18
"ADH1B",432.727130982263,7.10068372374041,0.768065225369445,9.2448967733501,2.35467884160699e-20,2.53556098898499e-18
"EPYC",210.740962187679,-3.32381306140813,0.360612006317715,-9.21714475163565,3.05116497457759e-20,3.26435282409162e-18
"PLEKHA4",302.876962212002,2.35077344520282,0.255318438787287,9.20722160282876,3.34675262547384e-20,3.55764094796364e-18
"PSMB9",155.504945816663,3.76544982213403,0.410701321637895,9.16834113685645,4.80353787571142e-20,5.07369863649188e-18
"COL4A1",3724.9528723143,1.8921264737474,0.206700305620121,9.15396069720765,5.48835429565231e-20,5.76034046106343e-18
"HLA-DRA",146.04236357344,3.99346140091877,0.436916733918047,9.14009716475594,6.23962431574543e-20,6.50765346088091e-18
"HLA-E",2538.07183454044,1.86274856422623,0.204340576802682,9.11590146887446,7.8019122955053e-20,8.08619447477278e-18
"PSMB8",350.125727591699,2.28386667294065,0.250885409851243,9.10322634662102,8.76874275500563e-20,8.99116869907721e-18
"LRRC75A-AS1",2183.11236323942,-1.69150967209818,0.185818033397461,-9.1030436668118,8.78350919164511e-20,8.99116869907721e-18
"EEF1A2",85.5092545233999,-5.03197913082347,0.553901471964148,-9.08461050478878,1.04070628680755e-19,1.0587749910509e-17
"IL1RL1",353.564051453603,-2.17564767566063,0.239958315170063,-9.06677342737093,1.2259348983162e-19,1.23961453773034e-17
"PSAT1",342.242385270751,-2.39242538748183,0.26392164035891,-9.06490799401045,1.24709456133158e-19,1.25336782488252e-17
"EIF4B",4365.99207758558,-1.52403110321691,0.168664825504284,-9.03585616420184,1.62723569988723e-19,1.62556925368855e-17
"ILDR2",80.778356146692,-5.06545017259337,0.561319031524974,-9.02419103594566,1.81027901402505e-19,1.79759622093278e-17
"SP100",694.342673315432,1.81983910406756,0.20189755331004,9.01367586794357,1.99263012324452e-19,1.96689198415262e-17
"RFLNB",244.937537954835,-2.67170613982215,0.296466169519497,-9.01184153373172,2.02624970040759e-19,1.98824253147095e-17
"CHI3L2",834.553116879654,-2.15134871563899,0.238830748365871,-9.00783810442733,2.10158309275509e-19,2.05003249571516e-17
"IFI16",641.834623065653,1.90286097997768,0.211658104007373,8.9902580810768,2.46650562437646e-19,2.3919334952652e-17
"RPS2",6926.7004705745,-1.56985518134566,0.175103593574019,-8.96529391146994,3.09454455011545e-19,2.9835367601491e-17
"AOC2",181.153264270138,-3.07061018176366,0.344792814088522,-8.90566756700248,5.30657302404065e-19,5.08664164495179e-17
"MMP7",461.011567150578,2.22230916272376,0.249752598938306,8.89804219123545,5.68404126252782e-19,5.41715265841947e-17
"ANKRD6",353.342003995952,-2.36088301708945,0.265422253102193,-8.8948194414598,5.85143580569569e-19,5.54482056947723e-17
"NFE2L2",553.804405670548,2.00930345515707,0.226118694083897,8.88605634000146,6.33162589641269e-19,5.96575865001203e-17
"TRIM25",533.873570448002,2.14739948213346,0.241722352394771,8.88374393538259,6.46469991376392e-19,6.05672986835859e-17
"MMP16",626.335371996995,-2.50453258456293,0.282164818604569,-8.87613344905634,6.92247810961019e-19,6.44918283661044e-17
"CILP2",899.941815842318,-1.81927029951453,0.205386706654121,-8.85778018038066,8.16234674686153e-19,7.5617986649835e-17
"CIDEC",137.85940459153,3.34880195259492,0.378163842223918,8.85542608436909,8.33647473064986e-19,7.6802089143537e-17
"ASIC1",106.873073398559,-3.55477363557104,0.401505705887271,-8.85360676933719,8.47355485257511e-19,7.76336796244492e-17
"HILPDA",690.067602421146,-1.93729472362714,0.218985830055126,-8.8466670338417,9.01719234280894e-19,8.21604948465937e-17
"RPL4",7895.74260325054,-1.56400542801968,0.176938975959457,-8.83923634992693,9.63750497757013e-19,8.69591499227251e-17
"RPLP0",7597.95375140716,-1.56088837795606,0.176588935733483,-8.83910632040864,9.64872675980306e-19,8.69591499227251e-17
"SMPD3",101.422174000158,-3.51806949658074,0.398615459991371,-8.82572265676021,1.08755238950953e-18,9.74858447310082e-17
"BMPER",251.463965933705,2.42008740275385,0.274301614880987,8.8227238611186,1.1170857892204e-18,9.95948045303327e-17
"HLA-DRB1",394.775132381746,2.73210104594536,0.309782951389095,8.81940414633658,1.15070404959945e-18,1.02043450558864e-16
"AC126696.2",327.666084641458,-2.33766045665395,0.265188879743355,-8.81507723444625,1.19602582407e-18,1.0549838425826e-16
"SP110",148.599330684798,3.08516648061164,0.350882790072713,8.79258421301398,1.4615856065021e-18,1.28240603770499e-16
"P3H2",362.548410228174,-2.08183922997393,0.236792197250583,-8.79184050043189,1.47129547154763e-18,1.28413120024602e-16
"IFIT5",309.110139093524,2.25953675659124,0.257379852271869,8.77899624483624,1.6494003585199e-18,1.43204220656206e-16
"PAPSS2",5211.88385529117,-1.71720231400495,0.195992474726854,-8.76157268996239,1.92544942324951e-18,1.66300665550764e-16
"TFPI",588.676665396648,1.81775514514166,0.207495427013362,8.76045882700154,1.94457219371241e-18,1.67082076105352e-16
"SAA1",169.758559161674,2.86696068387623,0.327385577253382,8.75713801423001,2.00270381600194e-18,1.7118988340598e-16
"VIT",675.789477247289,1.96435710819783,0.224516419547558,8.74928039631295,2.14717537285753e-18,1.82597995938956e-16
"BTN3A2",186.84242767433,2.68068354246782,0.306600354390576,8.74324998024274,2.2649877519982e-18,1.9163414230299e-16
"SLC7A8",275.990984173004,2.7070054804071,0.310141700971199,8.72828604450869,2.58561028696287e-18,2.1765063649089e-16
"EEF1A1",52950.0454387811,-1.47265423176282,0.169123446302567,-8.70756990800787,3.10458747634199e-18,2.60017041011006e-16
"DPEP1",211.730428881095,3.18903288346798,0.366270890804468,8.7067603883663,3.12683132849805e-18,2.60564039801423e-16
"FTH1",4395.91012552185,1.71756207290635,0.197333114837586,8.70387149323609,3.20750220566374e-18,2.65950045382609e-16
"FGF14",2456.12166228629,1.70593536188234,0.196075537426746,8.70039875586049,3.30719996075812e-18,2.72852223628119e-16
"MME",1018.55845179955,2.18501609079913,0.251519008185805,8.68728016446766,3.71219839760567e-18,3.04749435779677e-16
"NQO1",241.356335147204,2.38229552330784,0.274429997851561,8.68088598898879,3.92697644092406e-18,3.20793351329279e-16
"PPM1K",353.25365684364,2.28514553265457,0.263337194827209,8.67764059746283,4.04063550285489e-18,3.28460090901189e-16
"REPS2",105.474155645976,3.79206637277612,0.437240970115383,8.6727151203956,4.21936635921628e-18,3.41315865048213e-16
"LAMA3",379.767881836647,2.65471624162167,0.306311867780733,8.66671037219489,4.44784499584457e-18,3.58051522165488e-16
"FN1",650359.114928505,-1.67027995028915,0.192830434997259,-8.66191039974,4.63922947296256e-18,3.71653827778445e-16
"ADAR",1641.25790428871,1.5914885702379,0.183901635928184,8.65402073345015,4.97161718692621e-18,3.96366960628834e-16
"MGP",2292.21258335667,1.85483158894381,0.214416798752404,8.65058894515843,5.1234330779467e-18,4.06516223596125e-16
"CCL5",179.767482743734,7.70145685837958,0.892730978992003,8.62685068583082,6.30644204144868e-18,4.9799870653973e-16
"ODF3B",244.044210169023,2.33744621180407,0.271438271372453,8.61133619804392,7.22138674526594e-18,5.67546238847133e-16
"DTNA",161.623083026332,2.7491614187822,0.319443468798636,8.60609681306447,7.55904291466182e-18,5.91281172895458e-16
"SMIM5",143.647578191243,-2.84328593321703,0.330630782097453,-8.59958021809045,8.0008203584505e-18,6.2289954931542e-16
"EPS8L2",698.737532254333,-1.82331602962271,0.212088993927832,-8.59693846368626,8.18708583047769e-18,6.34422637041176e-16
"DHCR24",602.858915168162,1.82125329317524,0.211991944516926,8.59114386315668,8.61077370215128e-18,6.6415097815244e-16
"HERC5",174.679202021599,7.6652311943944,0.892842054275186,8.58520402090275,9.06753641290639e-18,6.9614331636679e-16
"TTC9",78.5071702838521,-4.46277160864827,0.52028523543609,-8.57754805382415,9.69168953469206e-18,7.40632661538242e-16
"CMIP",138.886424801254,-3.02445784503482,0.353118330463415,-8.56499814400931,1.08077586219955e-17,8.22133308387848e-16
"RF01972",81.6062235746325,-3.89975147857366,0.455484706117637,-8.56176162711042,1.11155838187835e-17,8.41688248707249e-16
"PSMB8-AS1",222.741776804672,2.45332699596372,0.28808161467659,8.51608318954303,1.65040297261003e-17,1.24402874976328e-15
"MMP10",75.8490912376014,-5.64432474067022,0.663912521789801,-8.50160910575091,1.86980521125751e-17,1.40303076100829e-15
"EFEMP1",361.541965972524,2.16147866094407,0.254514646469858,8.49255117897527,2.02149740222252e-17,1.5100221360836e-15
"HIST1H2AC",758.127775813715,1.67630735863321,0.197428390537666,8.49071075374743,2.05377145785853e-17,1.52725076617345e-15
"PIK3R1",1686.04493421431,2.05894027856422,0.243027033351609,8.47206275848898,2.41085179460373e-17,1.78478371919258e-15
"C19orf66",365.249411257277,2.15830956571264,0.255197026088368,8.45742444100926,2.73347542646706e-17,2.01463213320459e-15
"AKR1C1",183.273744295917,2.52491227552105,0.298685376203665,8.45341779906691,2.8289712669231e-17,2.07578896103477e-15
"CHST3",4463.02216250253,-2.08672122501112,0.246979097255107,-8.44897907637799,2.93861125635e-17,2.14673966801991e-15
"EBF1",408.212746968932,2.08932118009565,0.247346611379181,8.44693674372897,2.99045652308985e-17,2.17503247905259e-15
